name,SAT_BO0_best,SAT_BO0_avg,SAT_BO1_best,SAT_BO1_avg,SAT_BO2_best,SAT_BO2_avg,SAT_BO3_best,SAT_BO3_avg,SAT_BO4_best,SAT_BO4_avg,SAT_BO_best,SAT_BO_avg
v103-c76,71.94,68.08,72.57,68.20,74.26,69.46,72.54,70.00,74.89,70.35,77.09,73.51
v67-c304,80.19,78.00,82.24,77.62,79.84,76.01,82.60,77.40,84.32,80.30,84.94,83.28
v60-c73,82.73,79.97,82.41,80.01,82.19,78.77,80.99,79.22,81.99,80.30,84.95,83.16
v58-c50,78.68,77.40,78.83,76.98,80.31,76.07,79.81,75.47,79.29,78.25,83.23,80.55
v55-c67,77.89,74.69,81.18,77.57,77.34,75.87,76.70,76.53,81.04,78.77,89.43,81.05
v114-c152,74.11,73.12,73.58,72.05,75.20,74.62,74.82,73.44,74.26,73.98,77.12,76.25
v280-c375,67.52,67.18,69.66,69.02,68.40,67.99,69.10,68.49,68.61,68.23,71.35,70.64
v65-c128,83.93,80.14,83.38,79.50,78.14,76.61,82.93,79.69,81.89,78.66,84.74,81.72
v100-c158,77.06,74.03,79.90,76.11,75.15,73.76,75.40,72.95,78.76,76.20,79.77,77.76
v57-c90,81.50,79.01,79.01,77.29,77.42,76.94,80.05,79.79,80.59,80.32,83.68,81.75
v29-c21,87.73,82.31,87.79,83.08,88.23,83.45,86.58,81.78,87.71,83.78,89.87,88.29
v30-c30,83.83,78.81,86.93,77.24,83.97,76.35,82.80,76.41,83.81,81.10,86.30,84.06
v43-c46,79.67,75.03,79.12,73.73,78.94,73.70,82.61,75.54,82.85,77.25,82.82,79.87
v50-c28,77.31,75.92,83.74,80.07,85.46,79.50,82.96,79.62,80.76,79.29,87.80,82.56
v32-c33,84.94,81.83,84.93,82.43,87.13,81.07,86.37,82.12,90.59,86.63,91.81,88.66
v41-c18,86.72,81.63,85.07,82.47,85.07,79.58,84.86,80.88,86.01,80.89,86.60,84.47
v35-c57,87.61,82.91,85.35,79.40,87.79,81.35,83.85,80.98,86.28,83.71,87.12,86.47
v26-c27,90.18,87.98,89.37,86.29,90.18,87.68,89.43,87.59,87.47,85.40,90.01,89.34
v48-c60,75.78,71.73,77.41,69.23,70.63,66.77,73.59,70.50,77.81,73.49,77.80,74.64
v28-c35,87.99,81.69,85.16,83.05,85.27,81.06,87.78,82.02,85.38,80.29,89.67,85.52
v5-c4-1,84.01,77.67,83.57,77.74,84.01,74.65,95.05,84.73,95.87,87.70,99.96,97.65
v18-c17,70.15,65.17,68.33,59.58,72.28,69.99,70.20,67.64,62.92,59.88,80.19,75.48
v6-c4,87.94,87.04,97.44,90.21,91.99,84.90,90.50,83.49,91.99,89.31,98.78,96.56
v5-c4-2,99.42,83.39,84.75,82.79,88.40,87.55,82.34,80.04,89.29,83.81,100.00,95.33
v16-c16,78.48,74.12,78.86,69.46,75.58,72.58,76.15,65.60,80.82,73.04,91.31,87.71
v12-c10,85.15,82.63,82.89,80.01,85.69,81.92,83.55,81.00,85.36,79.94,85.69,83.93
v15-c20,87.91,77.51,85.95,82.31,90.61,85.34,88.97,86.53,80.75,75.91,91.61,87.70
v13-c17,89.11,79.16,82.72,76.56,85.23,79.33,89.78,74.23,77.61,74.28,93.07,87.13
v16-c14,82.22,77.60,72.25,67.25,83.97,77.90,81.34,74.63,77.75,73.49,88.75,84.90
v17-c22,90.22,87.78,94.76,84.38,93.95,87.34,93.19,87.41,90.00,82.99,94.21,90.44
